product_name,price,price_raw,category,brand,description,product_url,image_urls,vehicle_make,vehicle_model,year_range,engine_size,oem_part_number,supplier,scrape_date
Stabilizer links,0.0,KSh0,Uncategorized,Unknown,,https://www.onestopautogarage.co.ke/product-category/suspension-parts/stabilizer-links/,,,,,,,OneStopAutoGarage,2025-11-02 14:28:44
Control Arms,0.0,KSh0,Uncategorized,Unknown,,https://www.onestopautogarage.co.ke/product-category/suspension-parts/control-arm/,,,,,,,OneStopAutoGarage,2025-11-02 14:28:47
Cabin Filter,0.0,KSh0,Uncategorized,Unknown,,https://www.onestopautogarage.co.ke/product-category/service-parts/cabin-filter/,,,,,,,OneStopAutoGarage,2025-11-02 14:28:50
Mazda Biante CC3FW 2013 Rear Wheel Hub Assy C273-26-15XA,0.0,KSh0,Uncategorized,Mazda,,https://www.onestopautogarage.co.ke/product/mazda-biante-cc3fw-2013-rear-wheel-hub-assy-c273-26-15xa/,,Mazda,Biante,2013,,,OneStopAutoGarage,2025-11-02 14:28:53
Toyota Genuine Spark Plugs 90919-01247 FK20HR11,0.0,KSh0,Uncategorized,Toyota,,https://www.onestopautogarage.co.ke/product/toyota-genuine-spark-plugs-90919-01247-fk20hr11/,,Toyota,,,,,OneStopAutoGarage,2025-11-02 14:28:55
Nissan Teana J32 Lower Control Arm RH/LH 545015/4500-JN01A,0.0,KSh0,Uncategorized,Nissan,,https://www.onestopautogarage.co.ke/product/nissan-teana-j32-lower-control-arm-rh-lh-545015-4500-jn01a/,,Nissan,,,,,OneStopAutoGarage,2025-11-02 14:28:57
Spark Plugs BKR5EYA 4194 Toyota Corolla,0.0,KSh0,Uncategorized,Toyota,,https://www.onestopautogarage.co.ke/product/spark-plugs-bkr5eya-4194-price-kenya/,,Toyota,Corolla,,,,OneStopAutoGarage,2025-11-02 14:29:00
Service Parts,0.0,KSh0,Air Filters248 products,Unknown,,https://www.onestopautogarage.co.ke/product-category/service-parts/,,,,,,,OneStopAutoGarage,2025-11-02 14:29:03
Liqui Moly Carburetor Housing Cleaner 3325,0.0,KSh0,Uncategorized,Unknown,,https://www.onestopautogarage.co.ke/product/liqui-moly-carburetor-housing-cleaner-3325/,,,,,,,OneStopAutoGarage,2025-11-02 14:29:05
Oil Filter Audi B7 RS4/B8 RS5/B8 S5/C6 A6/C6 S6/D3 A8/D3 S8/MK1 R8 / VW Touareg 1/2-V8 079198405B,0.0,KSh0,Uncategorized,Audi,,https://www.onestopautogarage.co.ke/product/oil-filter-audi-b7-rs4-b8-rs5-b8-s5-c6-a6-c6-s6-d3-a8-d3-s8-mk1-r8-vw-touareg-1-2-v8-079198405b/,,Audi,Touareg,,,,OneStopAutoGarage,2025-11-02 14:29:07
Electrical Components,0.0,KSh0,ABS Sensors14 products,Unknown,,https://www.onestopautogarage.co.ke/product-category/electrical-components/,,,,,,,OneStopAutoGarage,2025-11-02 14:29:11
Toyota Land Cruiser 300 Series Genuine Rear Brake Pads 04466-60190,0.0,KSh0,Uncategorized,Toyota,,https://www.onestopautogarage.co.ke/product/toyota-land-cruiser-300-series-genuine-rear-brake-pads-04466-60190/,,Toyota,Land Cruiser,,,,OneStopAutoGarage,2025-11-02 14:29:14
Spark Plugs,0.0,KSh0,Uncategorized,Unknown,,https://www.onestopautogarage.co.ke/product-category/service-parts/spark-plugs/,,,,,,,OneStopAutoGarage,2025-11-02 14:29:17
VW Golf I II III/ Fox/Caddy/Polo Dip Stick Guide 53103663,0.0,KSh0,Uncategorized,VW,,https://www.onestopautogarage.co.ke/product/vw-golf-i-ii-iii-fox-caddy-polo-dip-stick-guide-53103663/,,VW,Golf,,,,OneStopAutoGarage,2025-11-02 14:29:19
Brake Shoes,0.0,KSh0,Uncategorized,Unknown,,https://www.onestopautogarage.co.ke/product-category/service-parts/brake-shoes/,,,,,,,OneStopAutoGarage,2025-11-02 14:29:21
Genuine Parts,0.0,KSh0,Uncategorized,Unknown,,https://www.onestopautogarage.co.ke/product-category/genuine-parts/,,,,,,,OneStopAutoGarage,2025-11-02 14:29:25
Shock Absorbers,0.0,KSh0,Uncategorized,Unknown,,https://www.onestopautogarage.co.ke/product-category/suspension-parts/shock-absorbers/,,,,,,,OneStopAutoGarage,2025-11-02 14:29:28
Liqui Moly,0.0,KSh0,Uncategorized,Unknown,,https://www.onestopautogarage.co.ke/product-category/liqui-moly/,,,,,,,OneStopAutoGarage,2025-11-02 14:29:31
Liqui Moly Synthoil Longtime 0W-30,0.0,KSh0,Uncategorized,Unknown,,https://www.onestopautogarage.co.ke/product/liqui-moly-synthoil-longtime-0w-30/,,,,,,,OneStopAutoGarage,2025-11-02 14:29:34
